5,1288230,3043641,1019837
1288231,1288230,3043624,1019837
1288242,1288230,3043610,1019837
103,1288317,3043624,1019863
1288326,1288317,3043675,1019863
1288341,1288317,3043670,1019863
1288345,1288317,3043628,1019863
1288345,1288317,3043633,1019863
1288352,1288351,3043608,1019870
1288353,1288351,3043614,1019870
1288354,1288351,3043616,1019870
1288355,1288351,3043618,1019870
1288356,1288351,3043620,1019870
1288357,1288351,3043622,1019870
1288358,1288351,3043626,1019870
1288359,1288351,3043630,1019870
1288348,1288347,3043660,1019879
1288348,1288347,3043662,1019879
1288369,1288368,3043660,1019881
1288372,1288368,3043662,1019881
695707,1288379,3043660,1019884
695711,1288379,3043660,1019884
1288389,1288379,3043662,1019884
1288391,1288379,3043662,1019884
1288394,1288393,3043672,1019887
1288396,1288393,3043673,1019887
1288734,1288724,3043690,1019976
1288735,1288724,3043693,1019976
1288736,1288724,3043695,1019976
1288740,1288739,3043690,1019978
1288741,1288739,3043693,1019978
1288742,1288739,3043695,1019978
1288756,1288750,3043690,1019984
1288757,1288750,3043693,1019984
1288758,1288750,3043695,1019984
299,1288861,3043690,1020010
695818,1288845,3043698,1020012
1288846,1288845,3043702,1020012
1288847,1288845,3043703,1020012
1288848,1288845,3043704,1020012
1288849,1288845,3043707,1020012
1288850,1288845,3043699,1020012
1288886,1288885,3043702,1020021
1288887,1288885,3043703,1020021
1288888,1288885,3043704,1020021
1288889,1288885,3043698,1020021
1288890,1288885,3043707,1020021
1288891,1288885,3043699,1020021
312,305,3043691,1020024
1288915,1288914,3043698,1020026
695831,1288938,3043699,1020035
1288970,1288938,3043707,1020035
1288977,1288938,3043707,1020035
1289331,1289329,3043693,1020051
1289430,1289428,3043692,1020076
1289473,1289471,3043722,1020088
1289476,1289471,3043724,1020088
1289575,1289578,3043729,1020131
1289593,1289592,3043730,1020136
553,1289601,3043728,1020138
1289636,1289637,3043732,1020144
585,1289642,3043733,1020149
587,1289642,3043734,1020149
654,1289739,3043746,1020158
673,696,3043744,1020158
673,1289739,3043746,1020158
1289742,1289739,3043744,1020158
1289729,1289728,3043741,1020161
715,1289814,3043748,1020170
696041,1289814,3043745,1020170
1289821,1289814,3043745,1020170
1289822,1289814,3043745,1020170
1289870,1289869,3043726,1020183
1289874,1289869,3043724,1020183
1289907,1289906,3043750,1020190
1290013,1290012,3043768,1020207
1290032,1290029,3043764,1020222
1290033,1290029,3043762,1020222
1290034,1290029,3043768,1020222
1290061,1290060,3043798,1020226
1290062,1290060,3043800,1020226
1290063,1290060,3043802,1020226
1290075,1290074,3043804,1020231
696155,1290117,3043808,1020246
1290118,1290117,3043812,1020246
1290119,1290117,3043810,1020246
696168,1290135,3043808,1020249
1290138,1290135,3043810,1020249
1290139,1290135,3043812,1020249
967,1290144,3043764,1020257
1290160,1290144,3043762,1020257
1290179,1290144,3043762,1020257
1290182,1290144,3043762,1020257
1014,1290222,3043702,1020259
1020,1290222,3043703,1020259
1038,1290222,3043704,1020259
1290221,1290222,3043707,1020259
1290236,1290222,3043707,1020259
1290337,1290336,3043827,1020294
1290345,1290344,3043825,1020303
1290416,1290415,3043829,1020310
1290417,1290415,3043831,1020310
1290418,1290415,3043833,1020310
1290419,1290415,3043835,1020310
1290423,1290422,3043839,1020320
1290469,1290468,3043865,1020339
1290470,1290468,3043863,1020339
1399,1290540,3043764,1020359
1290600,1290596,3043767,1020365
1290614,1290606,3043765,1020373
1290656,1290647,3043767,1020376
1290657,1290647,3043764,1020376
1290679,1290647,3043762,1020376
696461,1290662,3043707,1020380
1290665,1290662,3043698,1020380
1290668,1290662,3043699,1020380
1290675,1290662,3043704,1020380
1290681,1290662,3043703,1020380
1290687,1290662,3043702,1020380
1290857,1290796,3043762,1020387
1290858,1290796,3043767,1020387
1290859,1290796,3043764,1020387
1290773,1290772,3043894,1020391
1290775,1290774,3043895,1020393
696501,1572,3043897,1020402
1290969,1572,3043899,1020402
1291029,1290980,3043762,1020409
1291030,1290980,3043767,1020409
1291031,1290980,3043764,1020409
1290979,1290974,3043897,1020413
1291107,1291106,3043912,1020418
696546,1291115,3043914,1020429
1291129,1291115,3043917,1020429
1291137,1291115,3043919,1020429
1291145,1291115,3043910,1020429
1291147,1291115,3043916,1020429
1291246,1291245,3043945,1020461
1718,1291290,3043947,1020465
1291435,1291426,3043962,1020515
696624,1291507,3043947,1020537
696680,1291588,3044014,1020563
1922,1291609,3044011,1020568
1291756,1291755,3044024,1020602
696742,1291835,3044027,1020634
1291836,1291835,3044025,1020634
1291838,1291835,3044029,1020634
1291839,1291835,3044027,1020634
1292122,1292121,3044110,1020722
1292125,1292121,3044112,1020722
1292542,1292541,3044149,1020845
1292620,1292619,3044160,1020878
1292621,1292619,3044162,1020878
1292622,1292619,3044164,1020878
1292672,1292671,3044171,1020908
1292718,1292716,3044174,1020911
1292750,1292749,3044184,1020920
1292751,1292749,3044183,1020920
697122,697121,3044166,1020934
697133,697128,3044167,1020934
697143,697142,3044168,1020934
1292832,1292831,3044185,1020956
1292833,1292831,3044186,1020956
1292834,1292831,3044188,1020956
1292835,1292831,3044190,1020956
1292836,1292831,3044191,1020956
1292866,1292865,3044193,1020975
1293208,1293207,3044206,1021035
697267,1293231,3044213,1021039
1293232,1293231,3044216,1021039
1293233,1293231,3044212,1021039
1293347,1293346,3044232,1021113
1293348,1293346,3044229,1021113
1293349,1293346,3044228,1021113
697383,1293366,3044233,1021118
697387,1293371,3044236,1021118
697399,1293402,3044213,1021139
697402,1293405,3044213,1021142
697407,1293412,3044213,1021144
697412,1293419,3044213,1021149
1293427,1293426,3044254,1021154
697416,1293432,3044213,1021158
697418,1293432,3044213,1021158
697422,1293448,3044213,1021173
697426,1293448,3044213,1021173
1293453,1293450,3044252,1021175
1293457,1293450,3044238,1021175
1293459,1293450,3044239,1021175
1293465,1293450,3044260,1021175
1293471,1293450,3044252,1021175
1293571,1293570,3044198,1021197
1293572,1293570,3044199,1021197
1293573,1293570,3044199,1021197
1293574,1293570,3044198,1021197
697479,1293582,3044213,1021200
697481,1293590,3044266,1021204
1293640,1293639,3044268,1021217
697497,1293652,3044266,1021223
1293685,1293683,3044238,1021231
1293704,1293701,3044239,1021233
1293732,1293731,3044280,1021251
1293736,1293734,3044198,1021255
1293739,1293738,3044199,1021257
1293813,1293812,3044298,1021308
1293909,1293907,3044343,1021370
1294026,1294009,3044239,1021416
1294035,1294009,3044238,1021416
1294041,1294009,3044252,1021416
697630,1294190,3044352,1021478
697632,1294190,3044355,1021478
1294203,1294202,3044354,1021488
1294204,1294202,3044357,1021488
697641,4310,3044287,1021491
1294210,4310,3044366,1021491
1294211,4310,3044287,1021491
1294218,4310,3044366,1021491
697719,1294388,3044370,1021525
697760,1294388,3044373,1021525
1294389,1294388,3044371,1021525
1294466,1294388,3044380,1021525
1294467,1294388,3044376,1021525
1294473,1294388,3044370,1021525
1294490,1294388,3044376,1021525
1294491,1294388,3044378,1021525
1294493,1294388,3044375,1021525
1294312,1294311,3044399,1021533
697672,1294359,3044405,1021552
1294360,1294359,3044414,1021552
1294361,1294359,3044403,1021552
1294362,1294359,3044408,1021552
1294363,1294359,3044406,1021552
697794,1294511,3044405,1021557
1294683,1294511,3044406,1021557
1294686,1294511,3044406,1021557
1294640,1294639,3044431,1021595
1294641,1294639,3044432,1021595
1294642,1294639,3044434,1021595
697831,4771,3044464,1021617
697834,4771,3044464,1021617
1294845,4771,3044452,1021617
1294846,4771,3044444,1021617
1294873,4771,3044436,1021617
1294875,4771,3044438,1021617
1294877,4771,3044440,1021617
1294879,4771,3044442,1021617
1294884,4771,3044448,1021617
1294885,4771,3044450,1021617
1294887,4771,3044446,1021617
1294889,4771,3044454,1021617
1294891,4771,3044468,1021617
1294908,1294907,3043933,1021625
1294909,1294907,3043935,1021625
697827,1294913,3043933,1021628
697829,1294913,3043935,1021628
1295016,1295012,3044464,1021663
1295036,1295032,3044556,1021665
1295099,1295098,3044567,1021691
1295101,1295098,3044568,1021691
1295102,1295098,3044570,1021691
1295103,1295098,3044567,1021691
1295108,1295106,3044567,1021700
1295109,1295106,3044568,1021700
