1,3,1192639,1288229,1019839
4,3,1206114,1288230,1019837
15,8,1192646,1288248,1019851
23,4,1133666,1288266,1240413
28,4,1133666,1288289,1240416
46,19,1166258,64,1019859
50,15,1019851,1288293,1240412
57,22,1235892,1288285,1240406
59,4,1133666,1288303,1240419
65,2,1104808,1288315,1019865
74,11,1019851,1288316,1019867
80,4,1133666,1288318,1240422
88,9,1019851,1288349,1240423
108,6,1019879,1288419,1019895
125,20,1077661,1288466,1019897
127,27,1019879,1288467,1019897
129,3,1110390,1288497,1019904
136,14,1077661,1288496,1019908
142,10,1181638,1288557,1240449
217,2,1107104,1288724,1019976
224,2,1107106,1288739,1019978
228,3,1107108,1288750,1019984
283,2,1198338,1288837,1020004
291,7,1057201,1288862,1020010
339,218,1057201,1288969,1020035
351,9,1117149,1289335,1020053
352,4,1117209,1289338,1020063
381,7,1117320,1289356,1020065
441,2,1107125,1289434,1020082
477,6,1057201,1289482,1020092
485,13,1226540,1289484,1020092
498,12,1226540,1289501,1020097
502,21,1226540,1289500,1020097
509,11,1102311,501,1020099
511,35,1057201,1289499,1020097
548,6,1161930,1289586,1020133
570,21,1057201,1289612,1020138
573,32,1226540,1289611,1020138
580,3,1020012,1289640,1020146
601,4,1081179,1289652,1240486
607,1,1023208,1289653,1240487
623,66,1035579,1289688,1240485
627,72,1035579,1289689,1240485
631,75,1118710,634,1240485
638,86,1046679,1289690,1240485
643,2,1120450,1289790,1020166
645,29,1083387,696,1020158
647,94,1122307,1289691,1240485
660,105,1057201,1289693,1240485
693,158,1057201,1289695,1240485
718,3,1083387,724,1020172
727,10,1136429,1289827,1020172
735,11,1226540,1289886,1020183
737,3,1123920,1289906,1020190
755,3,1141037,1289937,1020197
759,5,1061491,1289942,1020199
793,60,1020021,1289982,1020202
807,11,1106074,1290034,1020222
813,5,1199647,1290060,1020226
839,4,1191350,864,1240508
844,15,1057201,1290088,1020235
865,30,1057201,1290090,1020235
925,18,1124885,1290120,1020246
939,19,1124885,1290140,1020249
949,14,1057201,1290142,1020257
992,39,1057203,1290243,1020259
997,14,1022496,1290256,1020263
1004,50,1057201,1290239,1020259
1009,61,1057201,1290237,1020259
1030,9,1118690,1036,1020265
1050,16,1022496,1290263,1020265
1061,8,1118690,1076,1020271
1071,16,1057201,1290273,1020277
1082,18,1022494,1290278,1020271
1088,26,1022496,1290279,1020271
1094,31,1057201,1290280,1020277
1103,3,1132932,1290310,1020284
1111,2,1132939,1290327,1020289
1115,14,1057201,1290313,1020287
1154,17,1057201,1290399,1020274
1164,31,1171539,1290396,1020274
1169,12,1057201,1290405,1020305
1225,5,1119113,1290422,1020320
1308,32,1171451,1290436,1020315
1340,22,1025555,1290459,1020332
1343,27,1088293,1290460,1020332
1346,34,1102818,1290461,1020332
1350,42,1057201,1290462,1020332
1355,68,1057203,1290463,1020332
1366,10,1082542,1369,1020348
1387,23,1226540,1290499,1020348
1408,37,1197671,1414,1020361
1418,81,1197671,1422,1020361
1423,3,1071757,1290605,1020369
1440,1,1020369,1290635,1240531
1443,6,1020369,1290636,1240531
1448,11,1020369,1290637,1240531
1451,16,1020369,1290638,1240531
1454,21,1020369,1290639,1240531
1457,26,1020369,1290640,1240531
1460,31,1020369,1290641,1240531
1463,36,1020369,1290642,1240531
1466,41,1020369,1290643,1240531
1469,46,1020369,1290644,1240531
1472,51,1020369,1290645,1240531
1497,22,1110390,1290714,1020380
1519,108,1110390,1290716,1020380
1526,2,1110390,1290767,1240536
1528,54,1073334,1290742,1020385
1533,2,1032676,1290774,1020393
