6,10,1019870,1288246,1019842
26,7,1150173,1288269,1019859
36,10,1192668,1288291,1240412
62,22,1081835,1288270,1019859
71,8,1192668,1288314,1019867
83,10,1178754,1288321,1019863
85,12,1178525,1288322,1019863
87,16,1178563,1288332,1019863
96,7,1126565,1288390,1019884
98,29,1178563,1288337,1019863
105,16,1126565,1288383,1019884
110,13,1178525,1288437,1240437
112,18,1178525,1288438,1240437
114,23,1178752,1288440,1240437
116,24,1181499,1288426,1240437
118,3,1019867,1288470,1019899
121,8,1126514,1288461,1019897
123,14,1126509,1288464,1019897
131,6,1019966,1288492,1019908
134,11,1019957,1288492,1019908
138,2,1019906,1288555,1019915
140,6,1126494,1288534,1019913
145,7,1126496,1288572,1019919
151,2,1019911,1288575,1019917
153,1,1155203,695735,1240453
155,9,1155215,695740,1240453
158,2,1019911,1288592,1019926
160,6,1126499,1288587,1019924
162,2,1019906,1288600,1019928
168,7,1126501,1288609,1019930
176,2,1019906,1288612,1019933
178,6,1126504,1288624,1019935
180,2,1019911,1288625,1019939
184,2,1019911,1288638,1019944
187,5,1019951,1288638,1019944
188,7,1126506,1288639,1019941
191,5,1171903,695754,1019946
196,2,1019906,1288659,1019951
198,6,1126509,1288668,1019949
200,7,1126511,1288685,1019957
203,2,1019911,1288686,1019960
208,6,1126514,1288697,1019962
210,7,1126519,1288703,1019966
213,2,1019911,1288708,1019964
215,6,1126522,1288714,1019969
219,2,1019911,1288728,1019971
221,7,1126528,1288729,1019973
226,2,1019911,1288743,1019980
231,6,1126531,1288755,1019982
233,7,1126533,1288767,1019987
236,1,1102863,261,1240461
238,2,1019911,1288769,1019990
242,4,1102047,261,1240461
244,6,1020076,261,1240461
248,9,1107158,261,1240461
250,10,1020051,261,1240461
252,2,1019911,1288777,1019992
254,17,1107150,261,1240461
256,8,1223879,1288784,1019994
258,20,1159358,695787,1240461
262,5,1126565,1288793,1240463
264,8,1126519,1288794,1240463
267,11,1126494,1288795,1240463
268,27,1126661,1288803,1240463
269,32,1126661,1288802,1240463
270,3,1019906,1288806,1019997
272,3,1027615,1288819,1240464
274,16,1154784,1288822,1019999
279,22,1171930,1288821,1019999
281,3,1019906,1288830,1020002
285,7,1198055,1288837,1020004
289,3,1019906,1288851,1020006
293,17,1020002,1288851,1020006
294,14,1151806,695817,1020010
296,20,1103468,1288861,1020010
302,16,1020035,1288845,1020012
307,15,1020035,1288885,1020021
309,6,1103460,305,1020024
313,7,1019906,1288894,1020018
315,2,1020035,1288927,1020031
317,2,1198687,1288933,1020033
319,3,1159414,695821,1020039
321,27,1154676,1288946,1020035
323,35,1154676,1288946,1020035
325,39,1191389,1288959,1020035
327,61,1191389,1288956,1020035
328,65,1191389,1288955,1020035
329,81,1191389,1288950,1020035
330,85,1191389,1288949,1020035
331,89,1020259,1288938,1020035
334,2,1019906,1289003,1020037
336,101,1191389,1288948,1020035
337,108,1191389,1288953,1020035
338,114,1191389,1288952,1020035
347,7,1117144,695841,1020053
354,7,1117209,695843,1020063
363,17,1191389,362,1240473
365,21,1191391,695845,1240473
367,24,1020074,1289343,1240473
369,25,1191362,695846,1240473
371,26,1191389,695847,1240473
379,5,1117320,695855,1020065
385,10,1191362,1289384,1020074
387,18,1191362,1289385,1020074
389,20,1191362,695859,1020074
391,24,1191362,695856,1020074
393,32,1191362,1289383,1020074
397,7,1191389,1289406,1020070
399,36,1191362,695866,1020074
401,44,1191362,1289382,1020074
403,36,1191389,1289406,1020070
405,41,1191395,1289406,1020070
409,48,1191362,695871,1020074
414,5,1020063,1289428,1020076
416,64,1205217,1289366,1020074
418,10,1020051,1289428,1020076
420,13,1117138,1289428,1020076
423,68,1191362,1289378,1020074
425,15,1020051,1289428,1020076
427,19,1020051,1289428,1020076
428,74,1191362,1289379,1020074
430,78,1155061,695886,1020074
432,79,1191362,695884,1020074
434,85,1191362,695881,1020074
439,91,1205217,1289366,1020074
443,95,1191362,1289376,1020074
445,101,1191362,1289377,1020074
447,105,1155061,695902,1020074
449,7,1023287,1289438,1020078
451,106,1191362,695900,1020074
453,36,1023287,1289438,1020078
455,3,1159429,695907,1020084
457,41,1023293,1289438,1020078
459,112,1191362,695895,1020074
461,122,1191362,1289375,1020074
465,126,1191362,695913,1020074
467,3,1159431,695920,1020086
469,3,1020088,1289479,1020090
475,142,1205217,1289366,1020074
479,146,1191362,1289371,1020074
481,152,1191362,1289373,1020074
483,3,1159433,695938,1020095
487,18,1020183,1289483,1020092
492,156,1155061,695940,1020074
494,157,1191362,695936,1020074
496,163,1191362,695933,1020074
504,9,1164024,695951,1020099
513,41,1020183,1289495,1020097
522,14,1020097,1289515,1020107
526,4,1020119,1289533,1020113
531,18,1020097,1289541,1020119
539,5,1020183,1289553,1020124
542,7,1020183,1289553,1020124
545,9,1020183,1289553,1020124
550,2,1154748,1289615,1020138
552,9,1083680,695963,1020138
554,11,1154748,553,1020138
556,17,1191362,1289613,1020138
563,19,1191362,695966,1020138
572,29,1154748,1289605,1020138
575,4,1020202,1289634,1020140
582,4,1236833,1289640,1020146
584,3,1020195,1289642,1020149
586,5,1020195,1289642,1020149
588,5,1020202,1289644,1020152
596,9,1020202,1289648,1020156
603,13,1236861,1289648,1020156
605,17,1171903,600,1020156
609,19,1236869,1289648,1020156
613,13,1021774,1289675,1240485
615,33,1154748,1289676,1240485
617,38,1154748,1289676,1240485
619,43,1154748,1289676,1240485
621,48,1154748,1289676,1240485
633,77,1035589,1289689,1240485
635,78,1020149,1289654,1240485
641,4,1043242,1289734,1020164
651,49,1154806,1289761,1020158
656,100,1191362,1289692,1240485
658,103,1191362,696008,1240485
662,114,1146115,1289704,1240485
664,75,1154938,1289755,1020158
667,118,1146119,1289704,1240485
669,120,1146121,1289704,1240485
671,76,1154900,653,1020158
674,124,1145931,1289659,1240485
676,83,1154938,653,1020158
678,129,1020188,1289654,1240485
680,86,1191362,1289774,1020158
682,90,1191391,696019,1020158
684,153,1191362,1289694,1240485
686,91,1191362,696023,1020158
688,156,1191362,696024,1240485
690,94,1154748,696018,1020158
692,98,1154938,653,1020158
