3150252,1,1288255,1288254,3043608,1240407
3150253,1,1288258,1288257,3043644,1240408
3150254,2,1288259,1288258,3043645,1240408
3150255,1,1288264,1288263,3043614,1240411
3150256,2,24,1288267,3043608,1240413
3150257,3,25,1288267,3043614,1240413
3150258,5,1288269,47,3043646,1019859
3150259,1,1288276,1288275,3043616,1240414
3150260,1,1288282,1288281,3043618,1240415
3150261,2,29,1288290,3043616,1240416
3150262,3,30,1288290,3043618,1240416
3150263,5,1288279,1288278,3043624,1240406
3150264,1,1288297,1288296,3043620,1240417
3150265,8,34,1288278,3043624,1240406
3150266,9,1288283,1288278,3043624,1240406
3150267,12,51,1288291,3043644,1240412
3150268,13,56,1288291,3043653,1240412
3150269,1,1288300,1288299,3043622,1240418
3150270,20,1288270,47,3043655,1019859
3150271,2,60,1288304,3043620,1240419
3150272,3,61,1288304,3043622,1240419
3150273,1,1288307,1288306,3043626,1240420
3150274,1,1288310,1288309,3043630,1240421
3150275,6,75,1288314,3043644,1019867
3150276,9,79,1288314,3043653,1019867
3150277,2,81,1288320,3043626,1240422
3150278,3,82,1288320,3043630,1240422
3150279,3,1288333,1288317,3043641,1019863
3150280,7,1288319,1288317,3043649,1019863
3150281,9,1288321,1288317,3043641,1019863
3150282,11,1288322,1288317,3043641,1019863
3150283,15,1288332,1288317,3043641,1019863
3150284,2,89,1288350,3043644,1240423
3150285,7,94,1288350,3043669,1240423
3150286,8,95,1288350,3043653,1240423
3150287,20,1288323,1288317,3043624,1019863
3150288,28,1288337,1288317,3043641,1019863
3150289,34,1288327,1288317,3043624,1019863
3150290,9,1288391,1288379,3043660,1019884
3150291,39,101,1288317,3043624,1019863
3150292,44,1288330,1288317,3043624,1019863
3150293,52,1288325,1288317,3043624,1019863
3150294,1,1288408,1288407,3043662,1240436
3150295,1,1288411,1288410,3043644,1240434
3150296,1,1288414,1288413,3043660,1240438
3150297,4,1288422,1288421,3043662,1019895
3150298,1,1288427,1288426,3043675,1240437
3150299,4,1288429,1288426,3043628,1240437
3150300,6,1288433,1288426,3043675,1240437
3150301,7,1288431,1288426,3043624,1240437
3150302,8,1288430,1288426,3043628,1240437
3150303,11,1288437,1288426,3043641,1240437
3150304,12,111,1288426,3043675,1240437
3150305,16,1288438,1288426,3043641,1240437
3150306,17,113,1288426,3043675,1240437
3150307,21,1288440,1288426,3043641,1240437
3150308,22,115,1288426,3043675,1240437
3150309,26,1288434,1288426,3043628,1240437
3150310,29,1288441,1288426,3043675,1240437
3150311,1,1288450,1288449,3043633,1240444
3150312,1,1288451,1288448,3043672,1240435
3150313,6,1288459,1288458,3043662,1019897
3150314,12,1288462,1288458,3043662,1019897
3150315,1,1288476,1288475,3043672,1240446
3150316,2,1288481,1288479,3043672,1019902
3150317,1,1288485,1288484,3043628,1240447
3150318,3,1288486,1288484,3043675,1240447
3150319,5,1288487,1288484,3043624,1240447
3150320,1,1288501,1288499,3043635,1240448
3150321,3,1288502,1288499,3043637,1240448
3150322,5,133,1288493,3043662,1019908
3150323,8,1288494,1288493,3043662,1019908
3150324,4,1288529,1288528,3043662,1019913
3150325,2,1288559,1288558,3043673,1240449
3150326,9,144,1288558,3043672,1240449
3150327,5,1288570,1288569,3043662,1019919
3150328,1,149,1288573,3043672,1240454
3150329,2,1288574,1288573,3043672,1240454
3150330,2,1288589,1288588,3043672,1019922
3150331,4,1288585,1288584,3043662,1019924
3150332,6,165,1288588,3043672,1019922
3150333,5,1288607,1288606,3043662,1019930
3150334,10,172,1288588,3043672,1019922
3150335,1,1288598,695744,3043686,1240455
3150336,4,1288622,1288621,3043662,1019935
3150337,5,1288635,1288634,3043662,1019941
3150338,2,1288645,1288644,3043673,1019937
3150339,9,1288646,1288644,3043672,1019937
3150340,4,1288666,1288665,3043662,1019949
3150341,2,1288672,1288671,3043673,1019955
3150342,5,1288682,1288680,3043662,1019957
3150343,9,1288674,1288671,3043672,1019955
3150344,4,1288695,1288694,3043662,1019962
3150345,5,1288701,1288700,3043662,1019966
3150346,4,1288707,1288706,3043662,1019969
3150347,5,1288726,1288725,3043662,1019973
3150348,4,1288753,1288752,3043662,1019982
3150349,5,1288764,1288763,3043662,1019987
3150350,5,1288838,1288837,3043690,1020004
3150351,16,1288864,1288861,3043690,1020010
3150352,18,298,1288861,3043690,1020010
3150353,1,1288878,1288877,3043690,1240468
3150354,2,311,305,3043691,1020024
3150355,4,306,305,3043691,1020024
3150356,1,1288917,1288916,3043691,1240469
3150357,1,1288920,1288919,3043698,1240470
3150358,1,1289326,1289325,3043693,1240472
3150359,2,1289339,1289338,3043692,1020063
3150360,9,1289344,1289343,3043707,1240473
3150361,11,359,1289343,3043699,1240473
3150362,12,1289346,1289343,3043703,1240473
3150363,15,1289347,1289343,3043703,1240473
3150364,19,1289348,1289343,3043704,1240473
3150365,22,1289349,1289343,3043702,1240473
3150366,30,374,1289343,3043699,1240473
3150367,31,1289345,1289343,3043699,1240473
3150368,1,1289364,1289363,3043692,1240474
3150369,5,384,1289370,3043698,1020074
3150370,62,413,1289370,3043698,1020074
3150371,2,1289429,1289428,3043692,1020076
3150372,4,415,1289428,3043692,1020076
3150373,7,1289431,1289428,3043692,1020076
3150374,12,421,1289428,3043692,1020076
3150375,89,438,1289370,3043698,1020074
3150376,2,1289472,1289471,3043723,1020088
3150377,139,472,1289370,3043698,1020074
3150378,16,1289497,1289495,3043724,1020097
3150379,5,1289511,1289510,3043707,1020111
3150380,7,1289512,1289510,3043704,1020111
3150381,11,1289518,1289510,3043702,1020111
3150382,3,1289535,1289534,3043707,1020117
3150383,6,1289537,1289534,3043707,1020117
3150384,11,536,1289534,3043702,1020117
3150385,6,1289555,1289554,3043707,1020128
3150386,8,1289556,1289554,3043704,1020128
3150387,11,1289560,1289554,3043702,1020128
3150388,3,1289579,1289576,3043707,1020133
3150389,1,1289567,1289566,3043690,1240482
3150390,5,1289568,1289566,3043690,1240482
3150391,9,1289569,1289566,3043690,1240482
3150392,13,1289570,1289566,3043690,1240482
3150393,9,1289584,1289576,3043702,1020133
3150394,23,1289574,1289566,3043692,1240482
3150395,25,1289572,1289566,3043692,1240482
3150396,32,1289571,1289566,3043693,1240482
3150397,8,1289597,1289596,3043707,1240483
3150398,10,1289607,1289596,3043704,1240483
3150399,13,1289609,1289596,3043704,1240483
3150400,24,1289599,1289596,3043707,1240483
3150401,26,1289600,1289596,3043704,1240483
3150402,28,1289602,1289596,3043702,1240483
3150403,1,1289629,1289628,3043707,1240484
3150404,4,565,1289628,3043702,1240484
3150405,5,1289631,1289628,3043707,1240484
3150406,24,1289603,1289601,3043728,1020138
3150407,28,1289605,1289601,3043728,1020138
3150408,1,1289650,602,3043695,1240486
3150409,6,1289651,602,3043695,1240486
3150410,1,1289655,1289654,3043732,1240485
3150411,5,1289656,1289654,3043729,1240485
3150412,7,612,1289654,3043732,1240485
3150413,10,1289657,1289654,3043728,1240485
3150414,12,1289675,1289654,3043732,1240485
3150415,16,1289658,1289654,3043728,1240485
3150416,18,1289673,1289654,3043732,1240485
3150417,21,1289674,1289654,3043732,1240485
3150418,29,1289676,1289654,3043728,1240485
3150419,64,624,1289654,3043729,1240485
3150420,65,625,1289654,3043732,1240485
3150421,70,628,1289654,3043729,1240485
3150422,71,629,1289654,3043732,1240485
3150423,84,639,1289654,3043729,1240485
3150424,85,640,1289654,3043732,1240485
3150425,2,1289734,1289732,3043741,1020164
3150426,92,648,1289654,3043729,1240485
3150427,13,1289737,1289736,3043707,1020158
3150428,15,1289762,1289736,3043704,1020158
3150429,18,1289764,1289736,3043704,1020158
3150430,27,1289770,1289739,3043744,1020158
3150431,93,649,1289654,3043732,1240485
3150432,42,1289740,1289736,3043707,1020158
3150433,44,1289744,1289736,3043703,1020158
3150434,48,1289761,1289736,3043699,1020158
3150435,1,1289809,1289808,3043745,1240491
3150436,102,659,1289654,3043728,1240485
3150437,58,1289746,1289736,3043702,1020158
3150438,61,1289753,1289736,3043707,1020158
3150439,63,1289760,1289736,3043703,1020158
3150440,67,1289754,1289736,3043699,1020158
3150441,74,1289755,1289736,3043699,1020158
3150442,113,663,1289654,3043730,1240485
3150443,115,1289679,1289654,3043733,1240485
3150444,117,668,1289654,3043733,1240485
3150445,119,670,1289654,3043734,1240485
3150446,123,675,1289654,3043722,1240485
3150447,127,1289660,1289654,3043723,1240485
3150448,132,1289669,1289654,3043723,1240485
3150449,134,1289670,1289654,3043723,1240485
3150450,88,1289756,1289736,3043704,1020158
3150451,155,689,1289654,3043728,1240485
3150452,96,1289757,1289736,3043704,1020158
3150453,103,1289748,1289736,3043704,1020158
3150454,105,1289749,1289736,3043702,1020158
3150455,166,1289683,1289654,3043724,1240485
3150456,171,1289664,1289654,3043726,1240485
3150457,173,1289665,1289654,3043723,1240485
3150458,176,1289668,1289654,3043723,1240485
3150459,109,1289752,696,3043744,1020158
3150460,114,1289785,696,3043744,1020158
3150461,123,1289741,1289736,3043699,1020158
3150462,127,1289743,1289736,3043699,1020158
3150463,189,1289663,1289654,3043723,1240485
3150464,199,1289662,1289654,3043723,1240485
3150465,205,1289661,1289654,3043723,1240485
3150466,6,1289826,724,3043744,1020172
3150467,9,729,724,3043746,1020172
3150468,3,1289834,1289833,3043745,1020177
3150469,1,1289843,1289842,3043723,1240492
3150470,1,1289848,1289846,3043745,1240493
3150471,1,734,1289865,3043745,1240495
3150472,3,1289876,1289869,3043723,1020183
3150473,4,1289872,1289869,3043724,1020183
3150474,3,1289858,1289856,3043702,1240494
3150475,8,1289878,1289869,3043724,1020183
3150476,10,1289860,1289856,3043702,1240494
3150477,15,1289884,1289869,3043723,1020183
3150478,18,1289885,1289869,3043726,1020183
3150479,13,1289867,1289856,3043702,1240494
3150480,5,1289893,1289891,3043745,1020186
3150481,6,1289892,1289890,3043745,1020186
3150482,16,1289875,1289857,3043702,1240494
3150483,17,1289871,1289856,3043702,1240494
3150484,24,1289862,1289856,3043703,1240494
3150485,28,1289864,1289856,3043704,1240494
3150486,1,1289899,1289898,3043724,1240496
3150487,2,1289912,1289910,3043723,1020188
3150488,4,1289914,1289910,3043723,1020188
3150489,12,1289923,1289919,3043707,1020193
3150490,13,1289922,1289921,3043707,1020193
3150491,15,1289924,1289919,3043699,1020193
3150492,16,740,1289921,3043699,1020193
3150493,19,742,1289919,3043698,1020193
3150494,20,743,1289921,3043698,1020193
3150495,23,745,1289919,3043703,1020193
3150496,24,746,1289921,3043703,1020193
3150497,1,1289911,1289909,3043752,1240497
3150498,27,750,1289919,3043704,1020193
3150499,28,751,1289921,3043704,1020193
3150500,31,753,1289919,3043702,1020193
3150501,32,754,1289921,3043702,1020193
3150502,1,1289941,1289940,3043699,1240498
